year,quarter,cik,accession,company_name,form_type,date_filed,contract_link,exhibit,exhibit_lead,content_type,label,parties,parties_raw,image_count,ocr_labeled,amend,restate,joinder,termination,archive_name
2023,QTR2,1063761,000155837023007951,SIMON PROPERTY GROUP INC /DE/,10-Q,2023-05-04,https://mcc.law.stanford.edu/data/1063761/000155837023007951/spg-20230331xex10d4.pdf,,,application/pdf,employment,"[""simon property group inc de""]","[""simon property group inc /de/"",""simon property group lp""]",0,false,false,false,false,false,1063761/000155837023007951/spg-20230331xex10d4.pdf
2023,QTR2,1063761,000155837023007951,SIMON PROPERTY GROUP INC /DE/,10-Q,2023-05-04,https://mcc.law.stanford.edu/data/1063761/000155837023007951/spg-20230331xex10d5.pdf,,,application/pdf,employment,"[""simon property group inc de""]","[""simon property group inc /de/"",""simon property group l""]",0,false,false,false,false,false,1063761/000155837023007951/spg-20230331xex10d5.pdf
2023,QTR2,1063761,000155837023007951,SIMON PROPERTY GROUP INC /DE/,10-Q,2023-05-04,https://mcc.law.stanford.edu/data/1063761/000155837023007951/spg-20230331xex10d6.pdf,,,application/pdf,employment,"[""simon property group inc de""]","[""simon property group inc /de/"",""simon property group l""]",0,false,false,false,false,false,1063761/000155837023007951/spg-20230331xex10d6.pdf
2024,QTR2,1063761,000155837024007058,SIMON PROPERTY GROUP INC /DE/,10-Q,2024-05-07,https://mcc.law.stanford.edu/data/1063761/000155837024007058/spg-20240331xex10d1.pdf,,,application/pdf,employment,"[""simon property group inc de""]","[""simon property group inc /de/""]",0,false,false,false,false,false,1063761/000155837024007058/spg-20240331xex10d1.pdf
2024,QTR2,1063761,000155837024007058,SIMON PROPERTY GROUP INC /DE/,10-Q,2024-05-07,https://mcc.law.stanford.edu/data/1063761/000155837024007058/spg-20240331xex10d2.pdf,,,application/pdf,employment,"[""simon property group inc de""]","[""simon property group inc /de/"",""simon property group lp""]",0,false,false,false,false,false,1063761/000155837024007058/spg-20240331xex10d2.pdf
2024,QTR2,1063761,000155837024007058,SIMON PROPERTY GROUP INC /DE/,10-Q,2024-05-07,https://mcc.law.stanford.edu/data/1063761/000155837024007058/spg-20240331xex10d3.pdf,,,application/pdf,employment,"[""simon property group inc de""]","[""simon property group inc /de/"",""simon property group lp""]",0,false,false,false,false,false,1063761/000155837024007058/spg-20240331xex10d3.pdf
2024,QTR2,1063761,000155837024007058,SIMON PROPERTY GROUP INC /DE/,10-Q,2024-05-07,https://mcc.law.stanford.edu/data/1063761/000155837024007058/spg-20240331xex10d4.pdf,,,application/pdf,employment,"[""simon property group inc de""]","[""simon property group inc /de/"",""simon property group lp""]",0,false,false,false,false,false,1063761/000155837024007058/spg-20240331xex10d4.pdf
2025,QTR2,1063761,000155837025007380,SIMON PROPERTY GROUP INC /DE/,10-Q,2025-05-12,https://mcc.law.stanford.edu/data/1063761/000155837025007380/spg-20250331xex10d1.pdf,,,application/pdf,employment,"[""simon property group inc de""]","[""simon property group inc /de/"",""simon property group lp""]",0,false,true,false,false,false,1063761/000155837025007380/spg-20250331xex10d1.pdf
2025,QTR2,1063761,000155837025007380,SIMON PROPERTY GROUP INC /DE/,10-Q,2025-05-12,https://mcc.law.stanford.edu/data/1063761/000155837025007380/spg-20250331xex10d2.pdf,,,application/pdf,employment,"[""simon property group inc de""]","[""simon property group inc /de/"",""simon property group l""]",0,false,false,false,false,false,1063761/000155837025007380/spg-20250331xex10d2.pdf
2025,QTR2,1063761,000155837025007380,SIMON PROPERTY GROUP INC /DE/,10-Q,2025-05-12,https://mcc.law.stanford.edu/data/1063761/000155837025007380/spg-20250331xex10d3.pdf,,,application/pdf,employment,"[""simon property group inc de""]","[""simon property group inc /de/"",""simon property group lp""]",0,false,false,false,false,false,1063761/000155837025007380/spg-20250331xex10d3.pdf
2025,QTR2,1063761,000155837025007380,SIMON PROPERTY GROUP INC /DE/,10-Q,2025-05-12,https://mcc.law.stanford.edu/data/1063761/000155837025007380/spg-20250331xex10d4.pdf,,,application/pdf,employment,"[""simon property group inc de""]","[""simon property group inc /de/"",""simon property group lp""]",0,false,false,false,false,false,1063761/000155837025007380/spg-20250331xex10d4.pdf
2001,QTR1,1067457,000106745701500005,ROMACORP INC,10-Q,2001-02-05,https://mcc.law.stanford.edu/data/1067457/000106745701500005/ostrovpdf.pdf,EX-10.18,EX-10,application/pdf,employment,"[""jon w ostrov"",""roma restaurant holdings inc"",""romacorp inc""]","[""jon w osrov"",""jon w ostrov"",""roma restaurant holdings inc"",""romacorp inc""]",0,false,false,false,false,false,1067457/000106745701500005/ostrovpdf.pdf
2011,QTR3,107687,000010768711000029,WINNEBAGO INDUSTRIES INC,10-Q,2011-07-01,https://mcc.law.stanford.edu/data/107687/000010768711000029/exh1012004incentivecompensat.pdf,EX-10.1,EX-10,application/pdf,employment,"[""winnebago industries inc""]","[""winnebago industries inc""]",0,false,true,false,false,false,107687/000010768711000029/exh1012004incentivecompensat.pdf
2011,QTR4,107687,000010768711000049,WINNEBAGO INDUSTRIES INC,10-K,2011-10-25,https://mcc.law.stanford.edu/data/107687/000010768711000049/exh10bbexecdefcompplan062111.pdf,EX-10.BB,EX-10,application/pdf,employment,"[""winnebago industries inc""]","[""winnebago industries inc""]",0,false,true,true,false,false,107687/000010768711000049/exh10bbexecdefcompplan062111.pdf
